pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
swm3,biz_01,B2,0.0,5,10,-1.0,1581,19476,-11.318785578747628,
swm3,biz_02,B2,0.0,5,11,-1.2,2023,26511,-12.104794859120119,
swm3,biz_03,B2,0.0,5,10,-1.0,1703,22571,-12.253669994128009,
swm3,med_01,B2,0.0,5,13,-1.6,1788,40150,-21.45525727069351,
refl2,sci_01,C,0.0,3,6,-1.0,2056,9373,-3.558852140077821,
refl2,sci_02,C,0.0,3,6,-1.0,3153,13764,-3.3653663177925783,
refl2,sci_03,C,0.0,5,4,0.2,11303,7741,0.3151375740953729,
refl2,cs_01,C,0.0,3,20,-5.666666666666667,3450,61254,-16.754782608695653,max_messages
refl2,cs_02,C,0.0,3,20,-5.666666666666667,7260,65536,-8.026997245179063,max_messages
refl2,cs_03,C,0.0,5,4,0.2,11620,11831,-0.018158347676419967,
refl2,hist_01,C,0.0,3,15,-4.0,1954,32677,-15.723132036847492,
refl2,hist_02,C,0.0,3,8,-1.6666666666666667,1816,17188,-8.464757709251101,
refl2,hist_03,C,0.0,3,5,-0.6666666666666666,3241,9658,-1.9799444615859303,
refl2,phil_01,C,0.0,3,6,-1.0,2375,9322,-2.9250526315789473,
refl2,phil_02,C,0.0,3,6,-1.0,4007,11392,-1.8430247067631644,
refl2,phil_03,C,0.0,3,9,-2.0,3352,29870,-7.9110978520286395,
refl2,law_01,C,0.0,3,8,-1.6666666666666667,2357,16681,-6.077216801018244,
refl2,law_02,C,0.0,3,10,-2.3333333333333335,7579,25987,-2.4288164665523158,
refl2,law_03,C,0.0,3,19,-5.333333333333333,6917,89566,-11.948677172184473,
refl2,game_01,C,0.0,3,4,-0.3333333333333333,2460,4775,-0.9410569105691057,
refl2,game_02,C,0.0,3,20,-5.666666666666667,9909,129679,-12.086991623776365,max_messages
refl2,game_03,C,0.0,3,20,-5.666666666666667,4770,85462,-16.916561844863732,max_messages
refl2,eng_01,C,0.0,3,4,-0.3333333333333333,4833,11286,-1.335195530726257,
refl2,eng_02,C,0.0,3,20,-5.666666666666667,5733,140639,-23.531484388627245,max_messages
refl2,eng_03,C,0.0,3,10,-2.3333333333333335,3650,35051,-8.603013698630138,
refl2,biz_01,C,0.0,7,4,0.42857142857142855,23295,11509,0.5059454818630608,
refl2,biz_02,C,0.0,3,20,-5.666666666666667,3032,51559,-16.00494722955145,max_messages
refl2,biz_03,C,0.0,3,19,-5.333333333333333,4578,90600,-18.790301441677588,
refl2,med_01,C,0.0,3,10,-2.3333333333333335,3028,21344,-6.0488771466314395,
rr3,sci_01,A,0.1,4,4,0.0,7937,5293,0.33312334635252616,
rr3,sci_02,A,0.1,4,4,0.0,10665,10141,0.049132676980778243,
rr3,sci_03,A,0.1,4,4,0.0,7932,8712,-0.09833585476550681,
rr3,cs_01,A,0.1,4,4,0.0,6800,7760,-0.1411764705882353,
rr3,cs_02,A,0.1,4,4,0.0,11775,10129,0.13978768577494693,
rr3,cs_03,A,0.1,4,4,0.0,7892,6855,0.13139888494678156,
